Date,Proposition,Description,Election_type
2008-02-05,Proposition_95,Ref on Amd to Indian Gaming Compact: Morongo,presidential-primary-election
2008-02-05,Proposition_96,Ref on Amd to Indian Gaming Compact: Sycuan,presidential-primary-election
2008-02-05,Proposition_97,"Ref on Amd to Indian Gaming Compact: 
Agua Caliente",presidential-primary-election
2008-06-03,Proposition_98,Eminent Domain. Limits on Government Authority.,statewide-direct-primary-election
2008-06-03,Proposition_99,Eminent Domain. Limits on Government Acquisition.,statewide-direct-primary-election
2008-11-04,Proposition_10,Altern. Fuel Vehicles and Renewable Energy Bonds,presidential-general-election
2008-11-04,Proposition_11,Redistricting,presidential-general-election
2008-11-04,Proposition_12,Veterans' Bond,presidential-general-election
2008-11-04,Proposition_1A,"Safe, Reliable High-Speed Train Bond Act",presidential-general-election
2008-11-04,Proposition_2,Standards for Confining Farm Animals,presidential-general-election
2008-11-04,Proposition_3,Children's Hospital Bond Act. Grant Program.,presidential-general-election
2008-11-04,Proposition_4,Parent Notif. Before Terminating Minor's Pregnancy,presidential-general-election
2008-11-04,Proposition_5,"Nonviolent Drug Offense. Sentencing, Parole, Rehab.",presidential-general-election
2008-11-04,Proposition_6,"Police, Law Enforcement Funding. Criminal Laws.",presidential-general-election
2008-11-04,Proposition_7,Renewable Energy Generation,presidential-general-election
2008-11-04,Proposition_8,Eliminates Right of Same-Sex Couples to Marry,presidential-general-election
2008-11-04,Proposition_9,Criminal Justice System. Victims' Rights. Parole.,presidential-general-election
2009-05-19,Proposition_1A,"""Rainy Day"" Budget Stabilization Fund",statewide-special-election
2009-05-19,Proposition_1B,Education Funding. Payment Plan.,statewide-special-election
2009-05-19,Proposition_1C,Lottery                 Modernization Act,statewide-special-election
2009-05-19,Proposition_1D,Children's           Services Funding,statewide-special-election
2009-05-19,Proposition_1E,Mental                          Health Funding,statewide-special-election
2009-05-19,Proposition_1F,Elected                        Officials Salaries,statewide-special-election
2010-06-08,Proposition_13,Property Taxes and Seismic Retrofit of Buildings,statewide-direct-primary-election
2010-06-08,Proposition_14,Primary Election Participation,statewide-direct-primary-election
2010-06-08,Proposition_15,California Fair Elections Act,statewide-direct-primary-election
2010-06-08,Proposition_16,Local Electricity Providers,statewide-direct-primary-election
2010-06-08,Proposition_17,Auto Insurance Pricing,statewide-direct-primary-election
2010-11-02,Proposition_19,"Legalize Marijuana in CA, Regulate and Tax",general-election
2010-11-02,Proposition_20,Redistricting of Congressional Districts,general-election
2010-11-02,Proposition_21,State Park Funding. Vehicle License Surcharge.,general-election
2010-11-02,Proposition_22,Prohibit State From Taking Some Local Funds,general-election
2010-11-02,Proposition_23,Suspend Air Pollution Control Law (AB 32),general-election
2010-11-02,Proposition_24,Repeal Allowance of Lower Business Tax Liability,general-election
2010-11-02,Proposition_25,Simple Majority Vote to Pass Budget,general-election
2010-11-02,Proposition_26,2/3 Vote for Some State/Local Fees,general-election
2010-11-02,Proposition_27,Eliminate State Redistricting Commission,general-election
2012-06-05,Proposition_28,Limits on Legislators' Terms in Office,presidential-primary-election
2012-06-05,Proposition_29,Tax on Cigarettes for Cancer Research,presidential-primary-election
2012-11-06,Proposition_30,Temporary Taxes to Fund Education,general-election
2012-11-06,Proposition_31,"State Budget, State
and Local Government",general-election
2012-11-06,Proposition_32,"Political Contributions
by Payroll Deduction
",general-election
2012-11-06,Proposition_33,Auto Insurance Prices Based on Driver History,general-election
2012-11-06,Proposition_34,"Death 
Penalty",general-election
2012-11-06,Proposition_35,"Human 
Trafficking",general-election
2012-11-06,Proposition_36,"Three Strikes 
Law",general-election
2012-11-06,Proposition_37,Genetically Engineered Foods Labeling,general-election
2012-11-06,Proposition_38,Tax for Education. Early Childhood Programs,general-election
2012-11-06,Proposition_39,Business Tax for Energy Funding,general-election
2012-11-06,Proposition_40,"Redistricting State
Senate",general-election
2014-06-03,Proposition_41,"Veterans Housing
& Homeless
Bond Act of 2014",statewide-direct-primary-election
2014-06-03,Proposition_42,"Public Records.
Open Meetings.
Reimbursements.",statewide-direct-primary-election
2014-11-04,Proposition_1,"Funding Water Quality, 
Supply, Treatment,
 Storage",general-election
2014-11-04,Proposition_2,"State Budget
Stabilization Account",general-election
2014-11-04,Proposition_45,"Healthcare
Insurance Rate
Changes",general-election
2014-11-04,Proposition_46,"Doctor Drug Testing,
Medical
Negligence",general-election
2014-11-04,Proposition_47,"Criminal Sentences,
Misdemeanor
Penalties",general-election
2014-11-04,Proposition_48,Indian Gaming Compacts Referendum,general-election
2016-06-07,Proposition_50,"Suspension 
of Legislators.",presidential-primary-election
2016-11-08,Proposition_51,K-12 and Community College Facilities,general-election
2016-11-08,Proposition_52,Medi-Cal Hospital Fee Program,general-election
2016-11-08,Proposition_53,"Voter Approval of 
Revenue Bonds",general-election
2016-11-08,Proposition_54,Legislative Procedure Requirements,general-election
2016-11-08,Proposition_55,"Tax Extension for 
Education and
Healthcare",general-election
2016-11-08,Proposition_56,Cigarette Tax,general-election
2016-11-08,Proposition_57,Criminal Sentences & Juvenile Crime Proceedings,general-election
2016-11-08,Proposition_58,English Proficiency. Multilingual Education.,general-election
2016-11-08,Proposition_59,Corporate Political Spending Advisory Question,general-election
2016-11-08,Proposition_60,Adult Film Condom Requirements,general-election
2016-11-08,Proposition_61,State Prescription Drug Purchase Standards,general-election
2016-11-08,Proposition_62,"Repeal of Death 
Penalty",general-election
2016-11-08,Proposition_63,"Firearms and 
Ammunition Sales",general-election
2016-11-08,Proposition_64,Marijuana Legalization,general-election
2016-11-08,Proposition_65,Carryout Bag Charges,general-election
2016-11-08,Proposition_66,"Death Penalty 
Procedure Time Limits",general-election
2016-11-08,Proposition_67,"Ban on Single-use
Plastic Bags",general-election
